,result
0,11.4973189039236
1,79.50117973680133
2,7.497279648839259
3,38.49947882316328
4,64.4984079059436
5,38.49947882316328
6,94.5017764117639
7,97.49923031647197
8,29.497624103762604
9,26.498944718740365
10,96.50185528903262
11,14.498371122123071
12,10.498162754999257
13,51.500033472833664
14,65.49843198455375
15,82.49885014737305
16,35.497747289410874
17,93.5017369177632
18,12.497331455611251
19,65.50061302251336
20,78.50113960374108
21,69.49852892997632
22,21.498712364735773
23,82.49885014737305
24,31.499170620875883
25,17.497404815918618
26,28.499035753899648
27,82.50129985058794
28,90.49905178663221
29,39.49952222286656
30,71.50085724175398
31,71.49857776209922
32,91.49907717711216
33,39.49952222286656
34,54.500158976830924
35,91.49907717711216
36,54.49817103612839
37,13.498320212374464
38,32.49921517110501
39,24.497527367613607
40,21.49747266590009
41,99.49928165220967
42,21.49747266590009
43,11.498216132068796
44,29.497624103762604
45,72.49860226355904
46,26.498944718740365
47,77.49872557904894
48,12.497331455611251
49,96.49920470142925
50,91.50165781602797
51,47.49986481949906
52,43.49969448319821
53,17.498520216859863
54,59.500366474060414
55,28.497604272986656
56,3.4972732390802506
57,68.50073540367134
58,21.498712364735773
59,84.49890029960918
60,70.4985533171664
61,82.49885014737305
62,40.49785453675878
63,63.498383893384485
64,26.498944718740365
65,64.5005721016592
66,13.498320212374464
67,83.49887520113023
68,77.5010994215904
69,53.50011723066196
70,1.4973072584422384
71,60.50040774161826
72,91.50165781602797
73,25.497546203085502
74,45.49796514225197
75,95.50181586865887
76,80.50121982170037
77,49.49805567219321
78,40.49785453675878
79,18.498568885171277
80,29.49908092258803
81,35.497747289410874
82,73.50093818240967
83,1.4975777829066887
84,34.4977263042669
85,49.499949343444364
86,18.498568885171277
87,56.498217796083296
88,60.49831226812715
89,65.49843198455375
90,55.500200637773816
91,4.497269495406533
92,28.497604272986656
93,1.4973072584422384
94,78.49875039636257
95,30.499125874665175
96,4.497269495406533
97,20.497455104493678
98,58.500325131878775
99,13.498320212374464
100,63.50053111475397
101,76.50105918938979
102,45.49977987552823
103,20.497455104493678
104,50.499991455967425
105,91.49907717711216
106,88.4990011251621
107,47.49986481949906
108,40.49785453675878
109,95.50181586865887
110,92.50169738605666
111,82.50129985058794
112,40.49785453675878
113,63.498383893384485
114,26.497565309217226
115,1.4973072584422384
116,18.497421147071538
117,90.50161820704358
118,26.498944718740365
119,95.50181586865887
120,15.498421385297673
121,18.497421147071538
122,45.49796514225197
123,82.50129985058794
124,94.4991535797694
125,83.49887520113023
126,10.498162754999257
127,34.4977263042669
128,63.50053111475397
129,3.4972732390802506
130,69.49852892997632
131,43.497920535653265
132,86.50145936824771
133,38.49781119836647
134,85.49892544201367
135,93.5017369177632
136,82.50129985058794
137,41.499608610838976
138,91.49907717711216
139,18.498568885171277
140,72.49860226355904
141,78.49875039636257
142,99.50197333664525
143,90.49905178663221
144,64.4984079059436
145,55.49819437464984
146,55.49819437464984
147,70.4985533171664
148,12.497331455611251
149,37.499435279070646
150,40.49785453675878
151,5.497874975149203
152,37.499435279070646
153,89.49902643575902
154,23.497508819905054
155,18.497421147071538
156,70.50081668722245
157,53.498147782833016
158,83.49887520113023
159,83.49887520113023
160,67.50069467208539
161,57.50028371313482
162,98.49925596691222
163,63.498383893384485
164,50.499991455967425
165,50.499991455967425
166,39.49783279812755
167,73.50093818240967
168,94.4991535797694
169,13.498320212374464
170,20.49866492667785
171,36.49939158469388
172,17.497404815918618
173,14.498371122123071
174,85.49892544201367
175,71.49857776209922
176,84.49890029960918
177,83.49887520113023
178,95.49917912233863
179,5.497874975149203
180,21.49747266590009
181,34.4977263042669
182,4.497810544335434
183,56.498217796083296
184,36.49939158469388
185,17.497404815918618
186,90.50161820704358
187,12.497331455611251
188,9.498108305228525
189,91.49907717711216
190,29.49908092258803
191,23.498806209659495
192,78.50113960374108
193,24.49885266141529
194,65.50061302251336
195,40.49785453675878
196,95.50181586865887
197,54.49817103612839
198,33.49925953447074
199,26.498944718740365
200,2.4976663100899272
201,52.500075396843144
202,25.498898825407753
203,62.50049006021864
204,28.499035753899648
205,6.497273695884909
206,23.498806209659495
207,88.4990011251621
208,3.4972732390802506
209,73.49862682037221
210,54.49817103612839
211,98.50193402247828
212,51.49810154173262
213,15.497373648552115
214,86.49895062757071
215,71.50085724175398
216,1.4973072584422384
217,14.498371122123071
218,34.4977263042669
219,77.5010994215904
220,5.497270064057115
221,64.4984079059436
222,78.49875039636257
223,95.50181586865887
224,57.50028371313482
225,70.4985533171664
226,40.49785453675878
227,85.49892544201367
228,6.497936342785751
229,78.50113960374108
230,10.498162754999257
231,17.497404815918618
232,2.4976663100899272
233,78.49875039636257
234,91.49907717711216
235,68.49850460178885
236,80.50121982170037
237,24.49885266141529
238,61.500448936410265
239,98.49925596691222
240,56.498217796083296
241,98.49925596691222
242,11.4973189039236
243,87.50149913975292
244,13.498320212374464
245,53.498147782833016
246,57.50028371313482
247,95.50181586865887
248,96.49920470142925
249,65.49843198455375
250,12.497331455611251
251,61.49833607279946
252,32.49921517110501
253,36.49776843790718
254,44.49794278101273
255,57.50028371313482
256,51.49810154173262
257,29.49908092258803
258,84.50137969728053
259,38.49947882316328
260,94.4991535797694
261,48.498032883852375
262,11.4973189039236
263,64.5005721016592
264,34.4977263042669
265,98.50193402247828
266,4.497810544335434
267,71.49857776209922
268,21.49747266590009
269,45.49796514225197
270,49.499949343444364
271,45.49796514225197
272,48.498032883852375
273,75.50101890614812
274,24.49885266141529
275,45.49977987552823
276,86.49895062757071
277,93.49912807430573
278,60.49831226812715
279,37.49778974299476
280,16.497388967728163
281,60.49831226812715
282,6.497936342785751
283,74.50097857084108
284,29.497624103762604
285,77.49872557904894
286,64.5005721016592
287,34.4977263042669
288,2.497283730723348
289,4.497810544335434
290,39.49952222286656
291,1.4975777829066887
292,12.497331455611251
293,55.49819437464984
294,61.49833607279946
295,73.50093818240967
296,76.4987008117852
297,51.49810154173262
298,39.49783279812755
299,32.49921517110501
300,18.497421147071538
301,88.50153886958503
302,74.4986514314052
303,82.50129985058794
304,19.498617110254738
305,75.50101890614812
306,7.4979953892957525
307,33.497705489737285
308,40.49785453675878
309,98.49925596691222
310,12.498268579845488
311,22.49749057894437
312,28.499035753899648
313,92.50169738605666
314,85.50141955434046
315,8.49805259816626
316,94.5017764117639
317,13.497344822546621
318,89.5015785584524
319,91.49907717711216
320,22.498759451155845
321,41.49787640908383
322,44.49794278101273
323,14.497358912262357
324,32.49921517110501
325,33.497705489737285
326,3.4972732390802506
327,96.50185528903262
328,20.49866492667785
329,70.50081668722245
330,64.4984079059436
331,49.499949343444364
332,78.50113960374108
333,98.50193402247828
334,41.49787640908383
335,30.497644151149814
336,3.4977418011973693
337,56.498217796083296
338,46.49982240171547
339,51.500033472833664
340,39.49952222286656
341,77.49872557904894
342,88.50153886958503
343,4.497810544335434
344,13.497344822546621
345,94.5017764117639
346,2.4976663100899272
347,70.4985533171664
348,83.50133979629513
349,62.498359948455445
350,24.497527367613607
351,54.49817103612839
352,42.499651609146916
353,70.4985533171664
354,17.497404815918618
355,2.4976663100899272
356,31.499170620875883
357,27.49899035688665
358,92.50169738605666
359,70.50081668722245
360,4.497269495406533
361,84.49890029960918
362,82.49885014737305
363,6.497936342785751
364,92.49910260654778
365,44.49794278101273
366,13.498320212374464
367,17.498520216859863
368,18.497421147071538
369,55.49819437464984
370,30.499125874665175
371,54.49817103612839
372,67.50069467208539
373,0.49741002094229003
374,85.50141955434046
375,52.500075396843144
376,19.498617110254738
377,31.49766440440344
378,5.497270064057115
379,24.49885266141529
380,98.49925596691222
381,17.497404815918618
382,57.498241298217536
383,77.5010994215904
384,98.49925596691222
385,31.49766440440344
386,98.49925596691222
387,49.499949343444364
388,78.49875039636257
389,22.49749057894437
390,65.49843198455375
391,45.49796514225197
392,6.497273695884909
393,87.50149913975292
394,1.4975777829066887
395,69.49852892997632
396,89.5015785584524
397,55.500200637773816
398,66.49845612769644
399,25.498898825407753
400,64.5005721016592
401,67.49848033391044
402,20.497455104493678
403,47.49801019720983
404,45.49796514225197
405,58.49826487893794
406,42.499651609146916
407,32.49768485363869
408,40.4995654836997
409,69.49852892997632
410,21.498712364735773
411,11.4973189039236
412,91.50165781602797
413,74.50097857084108
414,32.49921517110501
415,47.49986481949906
416,8.4972874394331
417,48.49990713232084
418,15.497373648552115
419,9.497296731835176
420,74.4986514314052
421,83.49887520113023
422,42.49789841024023
423,32.49768485363869
424,9.498108305228525
425,40.4995654836997
426,64.4984079059436
427,83.50133979629513
428,97.50189467345425
429,19.498617110254738
430,31.49766440440344
431,98.49925596691222
432,30.499125874665175
433,1.4973072584422384
434,32.49768485363869
435,40.4995654836997
436,3.4977418011973693
437,13.497344822546621
438,1.4975777829066887
439,22.49749057894437
440,66.49845612769644
441,20.49866492667785
442,1.4973072584422384
443,5.497270064057115
444,52.500075396843144
445,6.497273695884909
446,92.50169738605666
447,74.50097857084108
448,87.49897585552986
449,54.500158976830924
450,77.49872557904894
451,46.49798761552906
452,18.497421147071538
453,46.49982240171547
454,48.49990713232084
455,40.4995654836997
456,43.49969448319821
457,4.497269495406533
458,29.49908092258803
459,14.497358912262357
460,24.497527367613607
461,48.498032883852375
462,85.49892544201367
463,90.49905178663221
464,21.498712364735773
465,70.4985533171664
466,98.50193402247828
467,42.499651609146916
468,61.500448936410265
469,27.497584670535296
470,43.497920535653265
471,42.499651609146916
472,61.49833607279946
473,20.49866492667785
474,23.497508819905054
475,39.49783279812755
476,17.498520216859863
477,54.49817103612839
478,71.50085724175398
479,30.499125874665175
480,16.498471065585967
481,27.49899035688665
482,30.497644151149814
483,70.50081668722245
484,67.50069467208539
485,22.498759451155845
486,46.49798761552906
487,64.5005721016592
488,36.49776843790718
489,78.50113960374108
490,91.50165781602797
491,99.50197333664525
492,98.49925596691222
493,62.498359948455445
494,91.50165781602797
495,81.49882513915833
496,65.49843198455375
497,49.499949343444364
498,28.497604272986656
499,6.497936342785751
500,11.498216132068796
501,11.4973189039236
502,86.50145936824771
503,2.497283730723348
504,99.50197333664525
505,21.49747266590009
506,40.49785453675878
507,32.49768485363869
508,54.500158976830924
509,63.498383893384485
510,1.4975777829066887
511,50.499991455967425
512,19.49743792145244
513,72.49860226355904
514,33.497705489737285
515,85.50141955434046
516,60.50040774161826
517,27.497584670535296
518,9.498108305228525
519,72.49860226355904
520,69.49852892997632
521,80.50121982170037
522,58.500325131878775
523,79.49877526276666
524,27.497584670535296
525,57.50028371313482
526,50.498078559134534
527,18.497421147071538
528,19.498617110254738
529,76.50105918938979
530,23.498806209659495
531,8.49805259816626
532,67.49848033391044
533,56.498217796083296
534,88.4990011251621
535,14.498371122123071
536,43.49969448319821
537,53.498147782833016
538,86.49895062757071
539,34.49930371940548
540,12.497331455611251
541,1.4973072584422384
542,17.498520216859863
543,8.49805259816626
544,40.49785453675878
545,42.49789841024023
546,35.49934773372585
547,25.497546203085502
548,91.49907717711216
549,68.49850460178885
550,56.50024221580472
551,25.498898825407753
552,74.50097857084108
553,95.50181586865887
554,35.497747289410874
555,31.499170620875883
556,68.49850460178885
557,37.49778974299476
558,66.49845612769644
559,4.497269495406533
560,70.4985533171664
561,31.49766440440344
562,96.50185528903262
563,11.4973189039236
564,77.49872557904894
565,2.497283730723348
566,89.49902643575902
567,17.497404815918618
568,92.50169738605666
569,99.50197333664525
570,55.49819437464984
571,36.49939158469388
572,40.49785453675878
573,49.499949343444364
574,82.50129985058794
575,6.497273695884909
576,54.49817103612839
577,39.49783279812755
578,29.49908092258803
579,92.50169738605666
580,11.498216132068796
581,38.49781119836647
582,39.49952222286656
583,70.4985533171664
584,18.497421147071538
585,21.498712364735773
586,6.497273695884909
587,8.49805259816626
588,81.50125985933838
589,7.497279648839259
590,4.497269495406533
591,81.50125985933838
592,9.497296731835176
593,78.49875039636257
594,11.498216132068796
595,21.498712364735773
596,1.4973072584422384
597,21.498712364735773
598,2.497283730723348
599,19.49743792145244
600,59.500366474060414
601,0.49741002094229003
602,91.49907717711216
603,0.49741002094229003
604,29.49908092258803
605,65.50061302251336
606,41.49787640908383
607,92.49910260654778
608,6.497936342785751
609,64.4984079059436
610,85.50141955434046
611,44.499737237303115
612,14.497358912262357
613,55.49819437464984
614,96.50185528903262
615,41.49787640908383
616,80.49880017733201
617,90.50161820704358
618,3.4977418011973693
619,36.49939158469388
620,26.497565309217226
621,15.497373648552115
622,54.49817103612839
623,52.49812461718746
624,36.49939158469388
625,69.50077607494822
626,25.498898825407753
627,70.50081668722245
628,18.498568885171277
629,77.5010994215904
630,74.50097857084108
631,81.49882513915833
632,60.49831226812715
633,99.50197333664525
634,67.49848033391044
635,86.50145936824771
636,43.497920535653265
637,88.4990011251621
638,76.50105918938979
639,53.50011723066196
640,94.5017764117639
641,64.5005721016592
642,94.4991535797694
643,71.50085724175398
644,88.4990011251621
645,57.498241298217536
646,53.50011723066196
647,23.497508819905054
648,26.498944718740365
649,60.50040774161826
650,62.50049006021864
651,88.50153886958503
652,60.50040774161826
653,90.49905178663221
654,39.49783279812755
655,46.49982240171547
656,64.4984079059436
657,24.497527367613607
658,37.49778974299476
659,24.497527367613607
660,3.4977418011973693
661,31.499170620875883
662,1.4973072584422384
663,99.49928165220967
664,42.49789841024023
665,46.49798761552906
666,24.497527367613607
667,56.498217796083296
668,73.49862682037221
669,67.50069467208539
670,76.4987008117852
671,21.498712364735773
672,66.49845612769644
673,59.49828853622061
674,77.5010994215904
675,41.499608610838976
676,11.498216132068796
677,81.49882513915833
678,60.49831226812715
679,12.497331455611251
680,28.497604272986656
681,64.4984079059436
682,44.499737237303115
683,21.49747266590009
684,33.49925953447074
685,61.49833607279946
686,11.498216132068796
687,62.498359948455445
688,69.49852892997632
689,72.5008977397585
690,48.498032883852375
691,24.49885266141529
692,8.49805259816626
693,53.50011723066196
694,40.49785453675878
695,19.498617110254738
696,93.49912807430573
697,9.498108305228525
698,19.49743792145244
699,3.4977418011973693
700,68.50073540367134
701,50.498078559134534
702,78.49875039636257
703,61.49833607279946
704,65.50061302251336
705,10.497307281528798
